map,hill_num,round_score
Ardennes Forest,1,19.91304347826087
Ardennes Forest,2,17.841463414634145
Ardennes Forest,3,21.89189189189189
Ardennes Forest,4,13.457142857142857
Gibraltar,1,19.116161616161616
Gibraltar,2,18.917582417582416
Gibraltar,3,21.051724137931036
Gibraltar,4,20.901315789473685
London Docks,1,16.638743455497384
London Docks,2,19.546703296703296
London Docks,3,21.180379746835442
London Docks,4,21.87062937062937
London Docks,5,14.984496124031008
Sainte Marie du Mont,1,21.95
Sainte Marie du Mont,2,21.955172413793104
Sainte Marie du Mont,3,22.229007633587788
Sainte Marie du Mont,4,18.00900900900901
Valkyrie,1,21.57547169811321
Valkyrie,2,23.916666666666668
Valkyrie,3,24.138297872340427
Valkyrie,4,21.3
Valkyrie,5,19.18918918918919
